;Name;PSNR_00;SSIM_00;LPIPS_00;tOF_00;tLP100_00
31;city_oscuro_Test_sp_Noise_03_3__3;26.878908;0.7675604;0.2201617;0.2732049;3.916908
31;city_oscuro_Test_Gaussian_Noise_03_BlurGaussian_1_5_3__1;22.700811;0.19275355;0.92504096;1.4986039;4.842735
31;city_oscuro_Test_Gaussian_Noise_03_BlurGaussian_1_5_3__2;22.700994;0.19276258;0.92650187;1.5001447;5.7830615
31;city_oscuro_Test_Gaussian_Noise_03_BlurGaussian_1_5_3__3;22.701727;0.1926732;0.9267528;1.5003759;6.0199766
31;city_oscuro_Test_Gaussian_Noise_03_BlurGaussian_05_03_3__1;25.418694;0.6389066;0.3688675;0.53718233;24.367945
31;city_oscuro_Test_Gaussian_Noise_03_BlurGaussian_05_03_3__2;25.931244;0.65418065;0.3339266;0.50101084;17.01611
31;city_oscuro_Test_Gaussian_Noise_03_BlurGaussian_05_03_3__3;26.181698;0.6620378;0.3111173;0.44912553;10.73228
31;city_oscuro_Test_RSS_SS_ST_3__1;26.8819;0.7684521;0.20556301;0.2565276;0.9921278
31;city_oscuro_Test_RSS_SS_ST_3__2;26.897058;0.7689646;0.2050662;0.2547073;0.94503367
31;city_oscuro_Test_RSS_SS_ST_3__3;26.903185;0.76920974;0.20496586;0.25611362;0.93614954
31;city_oscuro_Test_RSS_SS_3__1;26.881899;0.76845205;0.2055631;0.2565274;0.9921566
31;city_oscuro_Test_RSS_SS_3__2;26.897058;0.7689646;0.2050662;0.25470722;0.9450276
31;city_oscuro_Test_RSS_SS_3__3;26.903185;0.7692096;0.20496602;0.25611207;0.93613684
17;Patin_360_Test_control_10__1;31.910658;0.95057046;0.049524;0.43284476;0.3857912
17;Patin_360_Test_control_10__2;31.910656;0.95057046;0.049523886;0.43284437;0.3857731
17;Patin_360_Test_control_10__3;31.910658;0.95057046;0.04952395;0.43284437;0.38577506
17;Patin_360_Test_control_10__4;31.910658;0.95057046;0.04952395;0.43284437;0.38577506
17;Patin_360_Test_control_10__5;31.910658;0.95057046;0.049523935;0.43284437;0.38577422
17;Patin_360_Test_control_10__6;31.910658;0.95057046;0.049523983;0.43284452;0.38577226
17;Patin_360_Test_control_10__7;31.910658;0.95057046;0.049523998;0.43284452;0.38578185
17;Patin_360_Test_control_10__8;31.910658;0.95057046;0.049523998;0.43284452;0.38578185
17;Patin_360_Test_control_10__9;31.910658;0.95057046;0.049523998;0.43284452;0.38578185
17;Patin_360_Test_control_10__10;31.910658;0.95057046;0.049523998;0.43284452;0.38578185
17;Patin_360_Test_control_3__1;31.910656;0.9505705;0.04952395;0.43284515;0.38576457
17;Patin_360_Test_control_3__2;31.910656;0.9505705;0.04952385;0.43284437;0.38574922
17;Patin_360_Test_control_3__3;31.910658;0.9505705;0.049523972;0.4328443;0.38576543
17;Patin_360_Test_RSS_2_1_10__1;31.919876;0.9505187;0.049747813;0.4332655;0.4081601
17;Patin_360_Test_RSS_2_1_10__2;31.932983;0.9505564;0.049750455;0.4337661;0.39876553
17;Patin_360_Test_RSS_2_1_10__3;31.913986;0.95055044;0.049704026;0.43328205;0.40006956
17;Patin_360_Test_RSS_2_1_10__4;31.91859;0.9505594;0.049681827;0.43376744;0.39605978
17;Patin_360_Test_RSS_2_1_10__5;31.91321;0.9505355;0.04969677;0.43346643;0.39693204
17;Patin_360_Test_RSS_2_1_10__6;31.925812;0.95056283;0.049732264;0.4340267;0.39531308
17;Patin_360_Test_RSS_2_1_10__7;31.922234;0.9505582;0.049713798;0.4333764;0.39565137
17;Patin_360_Test_RSS_2_1_10__8;31.922066;0.9505653;0.049658723;0.43384936;0.394264
17;Patin_360_Test_RSS_2_1_10__9;31.92397;0.95056695;0.04968131;0.43378335;0.39559716
17;Patin_360_Test_RSS_2_1_10__10;31.92567;0.9505658;0.049674444;0.43380153;0.39516735
17;Patin_360_Test_RSS_RS_2_1_10__1;31.919876;0.9505187;0.049747832;0.4332658;0.40815657
17;Patin_360_Test_RSS_RS_2_1_10__2;32.02314;0.9514499;0.050067164;0.43505663;0.34873897
17;Patin_360_Test_RSS_RS_2_1_10__3;32.03079;0.9516897;0.050736643;0.43611118;0.3442559
17;Patin_360_Test_RSS_RS_2_1_10__4;32.029;0.9516189;0.051256947;0.43714145;0.3311362
17;Patin_360_Test_RSS_RS_2_1_10__5;32.014374;0.9515182;0.051123448;0.43730363;0.33748215
17;Patin_360_Test_RSS_RS_2_1_10__6;32.03095;0.9516543;0.051144704;0.43706003;0.33478832
17;Patin_360_Test_RSS_RS_2_1_10__7;32.022903;0.9516018;0.051114634;0.43671018;0.33368358
17;Patin_360_Test_RSS_RS_2_1_10__8;32.022068;0.9515929;0.05128076;0.43712455;0.32941797
17;Patin_360_Test_RSS_RS_2_1_10__9;32.019596;0.9515424;0.051212635;0.43740728;0.33080542
17;Patin_360_Test_RSS_RS_2_1_10__10;32.02669;0.9516283;0.051228687;0.4371377;0.33253643
17;Patin_360_Test_RSS_RS_2_1_3__1;31.916733;0.9505625;0.04968147;0.43324426;0.39820787
17;Patin_360_Test_RSS_RS_2_1_3__2;32.02142;0.95146537;0.0500232;0.435017;0.34761816
17;Patin_360_Test_RSS_RS_2_1_3__3;32.02911;0.95173126;0.05070085;0.43649498;0.34352133
17;Patin_360_Test_RSS_RS_RT_2_1_3__1;32.07973;0.9516996;0.053432293;0.45198208;0.7472397
17;Patin_360_Test_RSS_RS_RT_2_1_3__2;32.122337;0.9521351;0.053962987;0.45410553;0.5153943
17;Patin_360_Test_RSS_RS_RT_2_1_3__3;32.134537;0.95236665;0.054780107;0.45423424;0.49999556
17;Patin_360_Test_RSS_RT_2_1_3__1;32.07973;0.9516996;0.053432293;0.45198202;0.74727213
17;Patin_360_Test_RSS_RT_2_1_3__2;32.080803;0.9517528;0.052958086;0.45256993;0.678225
17;Patin_360_Test_RSS_RT_2_1_3__3;32.080063;0.9517851;0.052909598;0.4529543;0.6473159
17;Patin_360_Test_RSS_2_1_3__1;31.916735;0.9505625;0.04968138;0.4332434;0.3981861
17;Patin_360_Test_RSS_2_1_3__2;31.925684;0.9505366;0.049617603;0.43413684;0.38939226
17;Patin_360_Test_RSS_2_1_3__3;31.920008;0.95056254;0.049639985;0.4335753;0.3913018
17;Patin_360_Test_RSS_BB_2_1_3__1;31.925014;0.9505367;0.049764983;0.44263008;0.39833364
17;Patin_360_Test_RSS_BB_2_1_3__2;31.922533;0.950459;0.04960029;0.44289315;0.3933841
17;Patin_360_Test_RSS_BB_2_1_3__3;31.917301;0.95049846;0.049588136;0.44262302;0.39168197
17;Patin_360_Test_Salt_Noise_03_3__1;31.41139;0.9435897;0.14775641;0.6714353;16.54478
17;Patin_360_Test_Salt_Noise_03_3__2;31.599117;0.9417616;0.17286304;0.78504455;18.37928
17;Patin_360_Test_Salt_Noise_03_3__3;31.752514;0.94370985;0.1569029;0.6854786;16.835318
17;Patin_360_Test_Gaussian_Noise_03_3__1;29.087769;0.637696;0.52484345;4.3030825;38.844894
17;Patin_360_Test_Gaussian_Noise_03_3__2;30.355215;0.72732854;0.46755987;3.081579;21.418585
17;Patin_360_Test_Gaussian_Noise_03_3__3;30.90411;0.7827486;0.4285193;1.949498;17.219597
17;Patin_360_Test_sp_Noise_03_3__1;31.716032;0.9478662;0.09209454;0.52885664;7.383534
17;Patin_360_Test_sp_Noise_03_3__2;31.729193;0.9448853;0.14921373;0.58996034;13.044074
17;Patin_360_Test_sp_Noise_03_3__3;31.803833;0.9449586;0.14919585;0.57932746;12.329949
17;Patin_360_Test_Gaussian_Noise_03_BlurGaussian_1_5_3__1;30.10632;0.8757046;0.32565984;1.5647112;3.6228738
17;Patin_360_Test_Gaussian_Noise_03_BlurGaussian_1_5_3__2;30.13248;0.8770977;0.3132823;1.5653435;5.2733474
17;Patin_360_Test_Gaussian_Noise_03_BlurGaussian_1_5_3__3;30.141058;0.87827086;0.31116372;1.5654453;5.580614
17;Patin_360_Test_Gaussian_Noise_03_BlurGaussian_05_03_3__1;32.1737;0.949563;0.06678508;0.55683863;1.1111102
17;Patin_360_Test_Gaussian_Noise_03_BlurGaussian_05_03_3__2;31.70093;0.8793181;0.20611235;1.0638943;23.528202
